SEQ_ORDER_NO,LINE_NO,CUST_NO,_NO,ORDER_NO,STYLE,COLOR_NO,SALES_PRICE,WHOUSE,QTY_SZ1,QTY_SZ2,QTY_SZ3,QTY_SZ4,QTY_SZ5,QTY_SZ6,QTY_SZ7,QTY_SZ8,QTY_SZ9,QTY_SZ10,QTY_SZ11,QTY_SZ12,QTY_SZ13,QTY_SZ14,QTY_SZ15,QTY_SZ16,QTY_SZ17,QTY_SZ18,SIZE_NO,CUST_STYLE1,CUST_STYLE2,SUB_STYLE,SUB_COLOR_NO,REF,ORDER_ALIAS,LIST_PRICE,SMAN1_NO,SMAN2_NO,SMAN3_NO,SMAN1_COMM,SMAN2_COMM,SMAN3_COMM
,1,BEALLSOUTL,995,1817648,EHW432-42,003,6,PE,196,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,
,2,BEALLSOUTL,995,1817648,EHW436A/B-42,89K,6,PE,193,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,
,3,BEALLSOUTL,995,1817648,EHW452A/B-42,410,6,PE,96,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,
,4,BEALLSOUTL,995,1817648,EHW537-42,410,6,PE,89,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,
,5,BEALLSOUTL,995,1817648,EHW549-42,003,6,PE,196,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,
,1,BEALLSOUTL,115,1817649,EHW432-42,003,6,PE,404,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,
,2,BEALLSOUTL,115,1817649,EHW436A/B-42,89K,6,PE,407,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,
,3,BEALLSOUTL,115,1817649,EHW452A/B-42,410,6,PE,204,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,
,4,BEALLSOUTL,115,1817649,EHW537-42,410,6,PE,211,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,
,5,BEALLSOUTL,115,1817649,EHW549-42,003,6,PE,404,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,
,1,BEALLSOUTL,995,1858440,EHH400-42,003,9,PE,425,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,
